Dataset,Nodes,Optimal,Algorithm,Cost,Error,Elapsed time,Memory usage
eil51,51,426,tat,581,0.363849765258216,0.026231050491333008,0.44475364685058594
eil51,51,426,chr,472,0.107981220657277,0.08652925491333008,0.5228710174560547
berlin52,52,7542,tat,10114,0.3410236011667993,0.030310392379760742,0.471588134765625
berlin52,52,7542,chr,8639,0.14545213471227791,0.0834965705871582,0.5143566131591797
st70,70,675,tat,879,0.30222222222222217,0.040701866149902344,0.883819580078125
st70,70,675,chr,760,0.125925925925926,0.21470904350280762,0.9863185882568359
eil76,76,538,tat,672,0.24907063197026025,0.06052088737487793,0.9874343872070312
eil76,76,538,chr,609,0.13197026022304836,0.2132556438446045,1.1172876358032227
pr76,76,108159,tat,145336,0.3437254412485322,0.04886293411254883,0.9871711730957031
pr76,76,108159,chr,116997,0.08171303358943782,0.16477203369140625,0.9871711730957031
rat99,99,1211,tat,1679,0.38645747316267554,0.10096192359924316,1.9638862609863281
rat99,99,1211,chr,1350,0.11478117258464082,0.33875250816345215,1.9638862609863281
kroA100,100,21282,tat,27210,0.2785452495066254,0.1000969409942627,1.9894332885742188
kroA100,100,21282,chr,23293,0.0944929987783103,0.38505101203918457,1.9894332885742188
kroB100,100,22141,tat,25885,0.16909805338512252,0.10311293601989746,1.9888839721679688
kroB100,100,22141,chr,24012,0.08450386161419998,0.2976081371307373,1.9888839721679688
kroC100,100,20749,tat,27968,0.3479203817051424,0.0997457504272461,1.9928817749023438
kroC100,100,20749,chr,23470,0.13113885006506343,0.38133859634399414,2.0541458129882812
kroD100,100,21294,tat,27112,0.27322250399173487,0.10276651382446289,1.9764328002929688
kroD100,100,21294,chr,23583,0.10749506903353057,0.3663356304168701,1.9864044189453125
kroE100,100,22068,tat,29965,0.3578484683704912,0.11657428741455078,1.9855575561523438
kroE100,100,22068,chr,23783,0.07771433750226575,0.4371516704559326,2.083251953125
rd100,100,7910,tat,10796,0.3648546144121365,0.09918022155761719,1.9854202270507812
