Nodes,Priority method,Cost,Leaves count,Elapsed time,Finished
20,reg,219,1,53.70307374000549,True
20,opt,217,6,34.68460011482239,True
20,reg,175,1,1.7755892276763916,True
20,opt,178,3,1.0748486518859863,True
20,reg,184,1,3.9169576168060303,True
20,opt,184,3,6.533168077468872,True
20,reg,200,1,3.0103132724761963,True
20,opt,197,5,17.20663571357727,True
20,reg,444,0,60.5612850189209,False
20,opt,231,5,60.009488105773926,False
20,reg,193,1,51.243011236190796,True
20,opt,193,5,37.43137788772583,True
20,reg,233,1,46.32014226913452,True
20,opt,230,1,15.983240842819214,True
20,reg,199,1,2.2364611625671387,True
20,opt,198,4,1.8801994323730469,True
20,reg,187,1,14.668150186538696,True
20,opt,187,10,10.849833726882935,True
20,reg,202,1,9.749921560287476,True
20,opt,201,4,5.03440523147583,True
20,reg,201,1,20.419509172439575,True
20,opt,199,9,12.301457405090332,True
20,reg,190,1,1.9411625862121582,True
20,opt,190,4,2.0486857891082764,True
20,reg,184,1,14.785644292831421,True
20,opt,182,3,3.3997857570648193,True
20,reg,197,1,6.317025899887085,True
20,opt,197,6,4.682361125946045,True
20,reg,199,1,8.414199590682983,True
20,opt,199,7,11.170135974884033,True
20,reg,183,1,4.546417951583862,True
20,opt,183,3,2.97037672996521,True
20,reg,213,1,22.285449266433716,True
20,opt,213,4,14.049089670181274,True
20,reg,223,1,13.151574611663818,True
20,opt,223,8,8.99239444732666,True
20,reg,199,1,3.45794677734375,True
20,opt,195,5,1.1662237644195557,True
20,reg,219,1,50.55382323265076,True
20,opt,219,5,39.95580458641052,True
20,reg,176,1,4.349529027938843,True
20,opt,176,3,3.3386595249176025,True
20,reg,191,1,4.2114458084106445,True
20,opt,191,5,2.674325942993164,True
20,reg,160,1,0.8057651519775391,True
20,opt,160,8,2.5226383209228516,True
20,reg,474,0,60.58064842224121,False
20,opt,218,5,60.00505995750427,False
20,reg,197,1,44.16806125640869,True
20,opt,196,10,27.271958351135254,True
20,reg,200,1,41.67851424217224,True
20,opt,200,6,27.4621639251709,True
20,reg,192,1,3.5964720249176025,True
20,opt,192,7,2.5271639823913574,True
20,reg,177,1,0.7784717082977295,True
20,opt,176,3,0.42104196548461914,True
20,reg,180,1,3.3406143188476562,True
20,opt,187,4,2.2663259506225586,True
20,reg,216,1,54.96997308731079,True
20,opt,216,9,38.56798219680786,True
20,reg,229,1,31.652413606643677,True
20,opt,229,8,26.744993686676025,True
20,reg,182,1,4.948181390762329,True
20,opt,182,3,3.574747323989868,True
20,reg,191,1,1.108591079711914,True
20,opt,191,3,0.7212138175964355,True
20,reg,186,1,5.851857423782349,True
20,opt,186,3,1.6869125366210938,True
20,reg,195,1,4.646365404129028,True
20,opt,195,6,4.933371543884277,True
20,reg,180,1,0.415924072265625,True
20,opt,180,7,0.7507076263427734,True
20,reg,175,1,7.154768228530884,True
20,opt,173,9,7.900290489196777,True
20,reg,188,1,15.611458539962769,True
20,opt,188,6,10.785753011703491,True
20,reg,187,1,0.9114990234375,True
20,opt,187,7,1.6385853290557861,True
20,reg,169,1,3.110217571258545,True
20,opt,163,6,0.38090062141418457,True
20,reg,186,1,8.322595834732056,True
20,opt,186,5,2.2494959831237793,True
20,reg,204,1,19.49034333229065,True
20,opt,204,7,12.561371088027954,True
20,reg,201,1,2.2339320182800293,True
20,opt,201,6,2.8585257530212402,True
20,reg,227,1,17.042621612548828,True
20,opt,227,7,10.170785903930664,True
20,reg,194,1,3.666104555130005,True
20,opt,201,1,2.229370594024658,True
20,reg,206,1,19.361933946609497,True
20,opt,210,3,12.283343315124512,True
20,reg,202,1,21.69435214996338,True
20,opt,199,4,11.327484369277954,True
20,reg,218,1,1.7958128452301025,True
20,opt,218,6,1.5665936470031738,True
20,reg,502,0,60.603660106658936,False
20,opt,233,8,60.00180721282959,False
20,reg,218,1,0.7492508888244629,True
20,opt,218,2,0.6700284481048584,True
20,reg,236,1,18.98569130897522,True
20,opt,236,12,18.16628909111023,True
20,reg,220,1,31.786227464675903,True
20,opt,220,6,20.666526317596436,True
20,reg,232,1,47.37476301193237,True
20,opt,232,6,32.33458137512207,True
20,reg,475,0,60.647955894470215,False
20,opt,233,6,60.000266551971436,False
20,reg,172,1,2.333681583404541,True
20,opt,172,4,2.4279842376708984,True
20,reg,230,1,1.9885988235473633,True
20,opt,230,2,1.4780924320220947,True
20,reg,173,1,2.201475143432617,True
20,opt,173,9,1.8368773460388184,True
20,reg,434,0,60.62071347236633,False
20,opt,217,10,44.596741914749146,True
20,reg,568,0,60.614800691604614,False
20,opt,204,5,60.00359559059143,False
20,reg,233,1,7.08942437171936,True
20,opt,233,4,5.331485033035278,True
20,reg,494,0,60.5961799621582,False
20,opt,206,13,60.003925800323486,False
20,reg,197,1,36.19412541389465,True
20,opt,197,3,18.615675687789917,True
20,reg,464,0,60.620168685913086,False
20,opt,242,8,60.00194048881531,False
20,reg,201,1,26.206013441085815,True
20,opt,201,7,40.99824500083923,True
20,reg,239,1,26.111583471298218,True
20,opt,240,12,16.60717248916626,True
20,reg,204,1,17.66838788986206,True
20,opt,204,9,16.74676012992859,True
20,reg,215,1,19.14191508293152,True
20,opt,218,9,13.196757555007935,True
20,reg,187,1,13.144173383712769,True
20,opt,186,5,6.093481540679932,True
20,reg,520,0,60.64091086387634,False
20,opt,211,5,58.595553159713745,True
20,reg,173,1,1.8833963871002197,True
20,opt,171,3,0.9071145057678223,True
20,reg,226,1,37.96179437637329,True
20,opt,226,11,28.000985860824585,True
20,reg,197,1,6.0807271003723145,True
